Item Link,Permalink,Original Source,Pages,URL
Full view (1624-29),https://hdl.handle.net/2027/nyp.33433082429873,New York Public Library,438,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429873&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1624-29,https://hdl.handle.net/2027/wu.89072324866,University of Wisconsin - Madison,434,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89072324866&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1631-34,https://hdl.handle.net/2027/wu.89095845475,University of Wisconsin - Madison,498,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845475&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1631-1634),https://hdl.handle.net/2027/nyp.33433082429881,New York Public Library,506,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429881&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1636,https://hdl.handle.net/2027/uva.x001423374,University of Virginia,334,https://babel.hathitrust.org/cgi/imgsrv/image?id=uva.x001423374&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1636,https://hdl.handle.net/2027/wu.89095845483,University of Wisconsin - Madison,330,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845483&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1636-37),https://hdl.handle.net/2027/nyp.33433082429899,New York Public Library,650,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429899&attachment=1&size=full&format=image%2Ftiff&seq=
Full view anno 1637,https://hdl.handle.net/2027/pst.000053235152,Pennsylvania State University,324,https://babel.hathitrust.org/cgi/imgsrv/image?id=pst.000053235152&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1637,https://hdl.handle.net/2027/wu.89095845491,University of Wisconsin - Madison,326,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845491&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1640-41),https://hdl.handle.net/2027/nyp.33433082429907,New York Public Library,574,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429907&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1640-41,https://hdl.handle.net/2027/wu.89095845509,University of Wisconsin - Madison,528,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845509&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1641-42,https://hdl.handle.net/2027/wu.89095845517,University of Wisconsin - Madison,342,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845517&attachment=1&size=full&format=image%2Ftiff&seq=
Full view anno 1641-1642,https://hdl.handle.net/2027/pst.000053235176,Pennsylvania State University,344,https://babel.hathitrust.org/cgi/imgsrv/image?id=pst.000053235176&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1643-1645),https://hdl.handle.net/2027/nyp.33433082429915,New York Public Library,758,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429915&attachment=1&size=full&format=image%2Ftiff&seq=
Full view anno 1643-1644,https://hdl.handle.net/2027/pst.000053235183,Pennsylvania State University,354,https://babel.hathitrust.org/cgi/imgsrv/image?id=pst.000053235183&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1643-44,https://hdl.handle.net/2027/wu.89095845525,University of Wisconsin - Madison,352,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845525&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1644-45,https://hdl.handle.net/2027/wu.89095845533,University of Wisconsin - Madison,404,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845533&attachment=1&size=full&format=image%2Ftiff&seq=
Full view anno 1644-1645,https://hdl.handle.net/2027/pst.000053235190,Pennsylvania State University,404,https://babel.hathitrust.org/cgi/imgsrv/image?id=pst.000053235190&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1647-48),https://hdl.handle.net/2027/nyp.33433082429923,New York Public Library,222,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429923&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1647-48,https://hdl.handle.net/2027/wu.89095845541,University of Wisconsin - Madison,218,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845541&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1653),https://hdl.handle.net/2027/nyp.33433082429931,New York Public Library,196,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429931&attachment=1&size=full&format=image%2Ftiff&seq=
Full view 1653,https://hdl.handle.net/2027/wu.89095845566,University of Wisconsin - Madison,190,https://babel.hathitrust.org/cgi/imgsrv/image?id=wu.89095845566&attachment=1&size=full&format=image%2Ftiff&seq=
Full view (1656-57),https://hdl.handle.net/2027/nyp.33433082429949,New York Public Library,392,https://babel.hathitrust.org/cgi/imgsrv/image?id=nyp.33433082429949&attachment=1&size=full&format=image%2Ftiff&seq=
